Job,Material,Req_Date,Urgency,Entry_Date,Timestamp,PO_Ref,Date
25 KL KETTLE -1502,1250 W X 6000 L X 12 THK - 3 NOS( MAIN SHELL),2026-03-05,High,2026-03-02,18:19,,
25 KL KETTLE & 984 DIA COULMN -1502 & 1503,"1500 W X 6000 L X 8 THK - 1NOS ( CONE ,MAN HOLE&BONNET SHELL)",2026-03-05,High,2026-03-02,18:19,,
10 KL KETTLE -1499,1250 W X 6000L X 12 THK -3 NOS ( MAIN SHELL),2026-03-05,High,2026-03-02,18:19,,
10 KL KETTLE -1499,1250 W X 6000 L X 14 THK - 1NOS ( BOTTOM DISH),2026-03-05,High,2026-03-02,18:19,,
5 KL -1507,100 DIA X 2500 L - 1 NOS ( BOTTOM SHAFT),2026-03-05,High,2026-03-02,18:19,,
5 KL -1507,100 DIA X 750 L - 1 NOS ( MIDDLE SHAFT),2026-03-05,High,2026-03-02,18:19,,
5 KL -1507,OD 630 X ID 325 X 55 THK - NOS ( MOUNTING PAD),2026-03-05,High,2026-03-02,18:19,,
5 KL -1507,OD 145 X ID 90 X 110 THK ( ANCHOR BUSH),2026-03-05,High,2026-03-02,18:19,,
5 KL -1507,OD 135 X ID 85 X 95 THK ( COUPLING BUSHES),2026-03-05,High,2026-03-02,18:19,,
5 KL -1507,OD 250 X ID 130 X 35 THK ( COUPLING FLANGES),2026-03-05,High,2026-03-02,18:19,,
,,,,2026-02-27,15:28,,
,,,,2026-02-27,15:28,,
,,,,2026-02-27,15:28,,
,,,,2026-02-27,15:28,,
TEST,TEST,03.03.26,High,,12:02,,2026-02-27
